"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"139","Malaysia","MYS",4.72444443823106,5.3933178976717,25174109,15.1990617,3,0.588,2.3,1.19392246847243,17.0413266036884,4955.477743,8.50824885846346
"140","Namibia","NAM",11.0015322278565,0,2009228,24.28729766,6,0.6329,NA,NA,14.5132611266558,3288.257373,8.09811302957248
"141","New Caledonia","NCL",NA,NA,228000,NA,NA,NA,NA,NA,12.3371009079366,NA,NA
"142","Niger","NER",-3.4850667455337,NA,13127012,NA,6,0.6518,NA,NA,16.3901826499315,NA,NA
"143","Nigeria","NGA",30.3565818289393,24.8350561280085,135393616,0.905461723,4,0.8505,11.8,2.54944517092557,18.7236967681433,648.8150852,6.47514775345569
"144","Nicaragua","NIC",3.94712151014944,0,5309703,12.18817918,8,0.4844,13.6,2.68102152871429,15.4850464594505,1091.505157,6.99531290066963
"145","Netherlands","NLD",1.67678994002229,0.0494812342647304,16281779,20.39206854,10,0.1054,1.1,0.741937344729377,16.6055571877528,39954.64222,10.5955001451946
"146","Norway","NOR",3.34652346340272,8.2810515919459,4591910,27.32436541,10,0.0586,0.7,0.53062825106217,15.3398066174863,57570.26916,10.9607615530107
"147","Nepal","NPL",3.19846031548683,0,25309449,8.9749585,-6,0.6632,3.6,1.52605630349505,17.046688362233,287.4001056,5.66087534107701
"148","Nauru","NRU",NA,NA,10113,NA,NA,0.5832,NA,NA,9.22157700390217,NA,NA
"149","New Zealand","NZL",2.41424260148821,0.159054981941169,4087500,29.25774198,10,0.3969,1.5,0.916290731874155,15.2234440941876,25420.39935,10.1433072546909
"150","Oman","OMN",-1.1729546465813,35.7929187303915,2444751,1.947151739,-8,0.4373,NA,NA,14.7094538352142,10129.28886,9.22318639339646
"151","Pakistan","PAK",5.17755403245761,0.752260918841924,150780300,10.28454521,-5,0.7098,6.3,1.98787434815435,18.8313343683997,649.8048233,6.47667204595291
"152","Panama","PAN",5.53685176637143,0,3269541,NA,9,0.5528,11,2.484906649788,15.0001601660486,4591.892776,8.43204758755257
"153","Peru","PER",3.66723380170112,1.05916254536436,27273194,13.66336894,9,0.6566,11.1,2.4932054526027,17.121414873009,2448.143899,7.80308542417585
"154","Philippines","PHL",4.6229440993863,0.120841166638934,84678493,11.81598797,8,0.2385,7.5,2.14006616349627,18.2543722076626,1079.03715,6.98382439469324
"155","Palau","PLW",6.6430981988111,NA,19804,NA,NA,0.4312,NA,NA,9.89363921648131,8754.488992,9.07732187545511
"156","Papua New Guinea","PNG",0.207243501127024,10.3259950259946,6161517,NA,4,0.2718,9.9,2.3887627892351,15.6338335714249,637.3686654,6.45734824074974
"157","Poland","POL",5.19718526618639,0.050078413759947,38182222,15.70174329,10,0.1183,1.4,0.8754687373539,17.4578805725779,6681.178818,8.80704972072221
"158","Puerto Rico","PRI",8.72642635726375,NA,3826878,NA,NA,NA,20.5,3.06805293513362,15.1575598851435,20988.99233,9.95175340451604
