"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"60","Spain","ESP",1.40190868023915,0.00364406837644758,42921895,14.95530635,10,NA,1.2,0.78845736036427,17.5748926266626,24918.64584,10.123371631136
"61","Estonia","EST",6.9321012409481,0.113124668324475,1362550,1.302400565,9,0.5062,8.3,2.23001440015921,14.1248685020939,8850.465115,9.08822529198822
"62","Ethiopia","ETH",10.4081278802965,0,74624405,9.680762203,1,0.7235,9.4,2.34180580614733,18.1279781564459,135.7623858,4.91090619443095
"63","Finland","FIN",3.62474513473332,0,5228172,21.85112035,10,0.1315,2.3,1.19392246847243,15.4695722529555,37636.11173,10.5357192868224
"64","Fiji","FJI",5.07791082855707,NA,818354,22.19001559,6,0.5479,NA,NA,13.6150502848062,3332.918533,8.11160363546476
"65","France","FRA",2.03237324810297,0.0081887337014279,62704897,22.05850032,9,0.1032,1.6,0.955511445027436,17.9539501046267,33874.74363,10.4304249900353
"66","Faroe Islands","FRO",NA,NA,48143,NA,NA,NA,NA,NA,10.7819310276338,34979.0817,10.4625054960839
"67","Micronesia, Fed. Sts.","FSM",-2.91352912250325,NA,106577,NA,NA,NA,4.6,1.7227665977411,11.5766230075845,2252.803138,7.71993055889599
"68","Gabon","GAB",-1.97190755426944,31.0524830035172,1364205,NA,-4,0.769,11.2,2.50143595173921,14.1260823993478,5685.577736,8.64568802564741
"69","United Kingdom","GBR",1.78371343019698,0.559915898700374,59987905,24.88552322,10,NA,1.5,0.916290731874155,17.9096535165324,39983.98467,10.5962342696713
"70","Georgia","GEO",7.25379866939669,0.351467584618662,4245000,9.927429099,7,0.4923,9,2.30258509299405,15.2612523777276,1207.367228,7.09619742337345
"71","Ghana","GHA",2.88406714628336,0.0455229936142064,20986536,NA,8,0.6733,1.8,1.02961941718116,16.8593916472106,423.1936389,6.04782984947649
"72","Gibraltar","GIB",NA,NA,31896,NA,NA,NA,NA,NA,10.3702358890612,NA,NA
"73","Guinea","GIN",0.394936358540534,NA,9490229,NA,-1,0.7389,10.1,2.40694510831829,16.0657733009588,386.3288283,5.95668889360279
"74","Gambia, The","GMB",3.65312901877373,NA,1398573,7.848809527,NA,0.7864,9.8,2.37954613413017,14.1509629890463,413.8398773,6.02547912920382
"75","Guinea-Bissau","GNB",0.543616507356703,NA,1350345,NA,-1,0.8082,11,2.484906649788,14.1158706733214,393.3138244,5.97460782857848
"76","Equatorial Guinea","GNQ",32.2477724172743,NA,724817,NA,-6,0.3467,3.5,1.50407739677627,13.493674488182,6085.348907,8.71363934264388
"77","Greece","GRC",4.80137873327024,0.00749860532629968,10955141,19.1347301,10,0.1576,1.2,0.78845736036427,16.2093194017641,21955.10409,9.99675492404584
"78","Grenada","GRD",-0.919407790184579,NA,102656,17.27880253,NA,0.2661,10.7,2.45958884180371,11.5391388717861,5836.177063,8.67183124896996
"79","Greenland","GRL",6.45961220247038,NA,56911,NA,NA,NA,NA,NA,10.9492439230471,28497.52016,10.2575723505412
"80","Guatemala","GTM",0.762513621545196,0.697665946744129,12796925,11.55273704,8,0.5122,NA,NA,16.3647154656539,1872.737083,7.53515632046073
"81","Guam","GUM",6.17183582334995,NA,158099,NA,NA,NA,4.4,1.68639895357023,11.9709766980669,24396.10624,10.1021788182191
"82","Guyana","GUY",3.32209641110222,NA,751652,NA,6,0.6195,19.1,3.00071981506503,13.5300287298653,1045.58861,6.95233526898366
"83","Hong Kong SAR, China","HKG",7.85562601260763,NA,6783500,NA,NA,NA,0.5,0.405465108108164,15.7300037509075,24928.10037,10.1237509750584
"84","Honduras","HND",3.72059053205429,0,7204153,14.49585933,7,0.1867,46.7,3.8649313978943,15.7901682232535,1217.657961,7.10468458863542
"85","Croatia","HRV",4.10625804326929,0.269203706115794,4439000,19.8640595,8,0.369,1.5,0.916290731874155,15.3059396838162,9365.742468,9.14481389288883
"86","Haiti","HTI",-5.03181191373764,0,9119178,NA,0,0.095,NA,NA,16.0258902264095,387.9429725,5.96085835072815
"87","Hungary","HUN",5.23769790000006,0.158748407337589,10107146,20.36215533,10,0.1522,1.6,0.955511445027436,16.1287532563863,10296.33979,9.23954375086816
"88","Indonesia","IDN",3.58917304568345,3.69520109889607,223614649,11.58116156,8,0.7351,NA,NA,19.2254348114105,1222.911783,7.10899000144206
"89","Isle of Man","IMN",4.14717292609012,NA,75341,NA,NA,NA,NA,NA,11.2297797543196,36608.45177,10.5080344154085
"90","India","IND",6.18757452526526,1.07104433467616,1126135777,9.70021273,9,0.4182,3.6,1.52605630349505,20.8420579428757,621.3183767,6.43184363445293
"91","Ireland","IRL",4.74847267677949,0,4070262,25.08659102,10,0.1206,1.2,0.78845736036427,15.2192179288113,47630.92531,10.771237520648
"92","Iran, Islamic Rep.","IRN",3.13111363954877,24.7268276055521,69617100,5.195323352,-6,NA,5.4,1.85629799036563,18.0585207847831,2729.838416,7.91199769814892
"93","Iraq","IRQ",50.1218410341944,63.2505843281866,26316609,NA,NA,0.3689,34.1,3.55820113047182,17.0857108187351,1391.816923,7.23836531141141
"94","Iceland","ISL",7.15488178790802,0,292074,24.98679125,NA,0.0798,1,0.693147180559945,12.5847624738013,46917.27216,10.7561411629699
"95","Israel","ISR",2.73755686911043,0.000507922025884573,6809000,24.84634359,6,0.3436,2.5,1.25276296849537,15.7337558244651,19892.05951,9.89807591148509
