"","X","ccode","isocode","ctry_name","year","gdp_grth","urban","l_pop","polity2","event","Africa","Asia","Europe","Latin_America","PHYSINT","ELECSD","LABENV","milex","milper","tpop","VIOLENCE","lagVIOLENCE","dummyevent","lagdummy","ProtestHistory","milexpc","lmilexpc"
"1",1,700,"AFG","Afghanistan",1979,NA,0.1522,16.53858,-7,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"2",2,700,"AFG","Afghanistan",1980,NA,0.157,16.537411,-7,0,0,1,0,0,NA,NA,NA,14.8220755774139,43,16063,NA,NA,0,0,NA,0.000922746409600569,-6.98815610703917
"3",3,700,"AFG","Afghanistan",1981,NA,0.1594,16.527121,-7,0,0,1,0,0,0,0,1,20.5527045769764,45,15862,8,NA,0,0,NA,0.00129571961776424,-6.64868904877558
"4",4,700,"AFG","Afghanistan",1982,NA,0.1618,16.509291,-7,0,0,1,0,0,0,0,0,21.0220592964178,55,15549,8,8,0,0,NA,0.00135198786394095,-6.60617927777669
"5",5,700,"AFG","Afghanistan",1983,NA,0.1642,16.487101,-7,0,0,1,0,0,0,0,0,19.5682282401002,46,15177,8,8,0,0,NA,0.00128933440338012,-6.65362916013701
"6",6,700,"AFG","Afghanistan",1984,NA,0.1666,16.465321,-7,0,0,1,0,0,0,1,0,14.1779397866883,46,14814,8,8,0,0,NA,0.000957063574098034,-6.95164073810328
"7",7,700,"AFG","Afghanistan",1985,NA,0.169,16.448259,-7,0,0,1,0,0,0,0,0,19.7368964804739,47,14519,8,8,0,0,NA,0.00135938401270569,-6.60072361367284
"8",8,700,"AFG","Afghanistan",1986,NA,0.1718,16.435989,-7,0,0,1,0,0,0,0,0,NA,47,14300,8,8,0,0,NA,NA,NA
"9",9,700,"AFG","Afghanistan",1987,NA,0.17459999,16.42914,-7,0,0,1,0,0,0,1,0,NA,50,14165,8,8,0,0,NA,NA,NA
"10",10,700,"AFG","Afghanistan",1988,NA,0.1774,16.433319,-7,0,0,1,0,0,0,0,0,NA,55,14162,8,8,0,0,NA,NA,NA
"11",11,700,"AFG","Afghanistan",1989,NA,0.1802,16.45503,-8,0,0,1,0,0,0,0,0,NA,55,14346,8,8,0,0,0,NA,NA
"12",12,700,"AFG","Afghanistan",1990,NA,0.18299999,NA,-8,0,0,1,0,0,0,0,0,29.1446387420361,58,14754,8,8,0,0,0,0.00197537201721811,-6.22699853521875
"13",13,700,"AFG","Afghanistan",1991,NA,0.1858,NA,-8,0,0,1,0,0,1,0,0,NA,45,15403,7,8,0,0,0,NA,NA
"14",14,700,"AFG","Afghanistan",1992,NA,0.18860001,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,16276,NA,7,0,0,0,NA,NA
"15",15,700,"AFG","Afghanistan",1993,NA,0.19139999,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,17322,NA,NA,0,0,0,NA,NA
"16",16,700,"AFG","Afghanistan",1994,NA,0.1942,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,18470,NA,NA,0,0,0,NA,NA
"17",17,700,"AFG","Afghanistan",1995,NA,0.19700001,NA,0,0,0,1,0,0,NA,NA,NA,10.1724225624332,NA,19661,NA,NA,0,0,0,0.000517390903943505,-7.56671186868481
"18",18,700,"AFG","Afghanistan",1996,NA,0.2002,NA,-7,0,0,1,0,0,0,0,2,9.96025475266964,NA,20883,8,NA,0,0,0,0.000476955167009991,-7.6480880609901
"19",19,700,"AFG","Afghanistan",1997,NA,0.2034,NA,-7,0,0,1,0,0,0,0,2,9.44333996023857,NA,22132,8,8,0,0,0,0.000426682629687266,-7.75947007708905
"20",20,700,"AFG","Afghanistan",1998,NA,0.2066,NA,-7,0,0,1,0,0,0,0,0,11.9415566170273,NA,21354,8,8,0,0,0,0.00055921872328497,-7.48896988533593
"21",21,700,"AFG","Afghanistan",1999,NA,0.2098,NA,-7,0,0,1,0,0,0,0,2,11.4035487843817,400,21923,8,8,0,0,0,0.000520163699511093,-7.56136698917795
"22",22,700,"AFG","Afghanistan",2000,NA,0.21299999,NA,-7,0,0,1,0,0,0,0,0,11.0035211267606,400,22720,8,8,0,0,0,0.000484309908748264,-7.63278554882579
"23",23,700,"AFG","Afghanistan",2001,NA,0.21620001,NA,NA,0,0,1,0,0,0,0,0,11.0960144927536,NA,22080,8,8,0,0,0,0.000502536888258769,-7.5958415112552
"24",24,700,"AFG","Afghanistan",2002,NA,0.21940001,NA,NA,0,0,1,0,0,3,1,1,NA,50,22203,5,8,0,0,0,NA,NA
"25",25,700,"AFG","Afghanistan",2003,15.67138,0.2226,NA,NA,0,0,1,0,0,NA,NA,NA,NA,60,23116,NA,5,0,0,0,NA,NA
"26",26,700,"AFG","Afghanistan",2004,7.9921899,0.2258,NA,NA,0,0,1,0,0,NA,NA,NA,NA,44,24019,NA,NA,0,0,0,NA,NA
"27",27,700,"AFG","Afghanistan",2005,14.00028,0.229,NA,NA,0,0,1,0,0,4,1,1,4.66594264108443,27,24861,4,NA,0,0,0,0.000187681213188706,-8.5807657089458
"28",28,700,"AFG","Afghanistan",2006,NA,NA,NA,NA,0,0,1,0,0,4,1,1,4.68183059576294,27,25631,4,4,0,0,0,0.000182662814395183,-8.60786864898421
"29",29,540,"AGO","Angola",1979,NA,0.2326,15.84267,-7,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"30",30,540,"AGO","Angola",1980,NA,0.24299999,15.87412,-7,0,1,0,0,0,NA,NA,NA,97.2421997435532,47,7019,NA,NA,0,0,NA,0.0138541387296699,-4.27917126574124
"31",31,540,"AGO","Angola",1981,-6.4000001,0.255,15.90788,-7,0,1,0,0,0,5,0,1,95.4671937855458,53,7209,3,NA,0,0,NA,0.0132427789964691,-4.3243028565048
"32",32,540,"AGO","Angola",1982,0,0.26700001,15.94331,-7,0,1,0,0,0,2,0,1,105.567644276254,54,7399,6,3,0,0,NA,0.0142678259597586,-4.24974820950224
"33",33,540,"AGO","Angola",1983,4.1999998,0.279,15.97878,-7,0,1,0,0,0,2,0,1,74.1572708113804,54,7592,6,6,0,0,NA,0.00976781754628298,-4.62866222106614
"34",34,540,"AGO","Angola",1984,6,0.291,16.012369,-7,0,1,0,0,0,3,0,0,NA,60,7793,5,6,0,0,NA,NA,NA
"35",35,540,"AGO","Angola",1985,3.5,0.30299999,16.04299,-7,0,1,0,0,0,5,0,1,122.915156816194,66,8003,3,5,0,0,NA,0.0153586351138565,-4.17607741498584
"36",36,540,"AGO","Angola",1986,2.8,0.3166,16.070181,-7,0,1,0,0,0,4,0,0,132.522796352584,70,8225,4,3,0,0,NA,0.0161121940854205,-4.12817889706182
"37",37,540,"AGO","Angola",1987,7.9000001,0.3302,16.094709,-7,0,1,0,0,0,3,0,0,96.842852075204,74,8457,5,4,0,0,NA,0.0114512063468374,-4.46966019672924
"38",38,540,"AGO","Angola",1988,5.5999999,0.34380001,16.118231,-7,0,1,0,0,0,4,0,0,94.1379310344828,107,8700,4,5,0,0,NA,0.010820451843044,-4.52631724645014
"39",39,540,"AGO","Angola",1989,0.40000001,0.35740002,16.142879,-7,0,1,0,0,0,1,0,0,276.209056371291,107,9739,7,4,0,0,0,0.0283611311604159,-3.56273569234438
"40",40,540,"AGO","Angola",1990,-0.30000001,0.37099998,16.169941,-7,0,1,0,0,0,3,0,2,272.654690618762,115,10020,5,7,0,0,0,0.0272110469679404,-3.60413224960489
"41",41,540,"AGO","Angola",1991,-1.2,0.3852,16.19985,-3,0,1,0,0,0,1,0,4,56.6437204414083,150,9515,7,5,0,0,0,0.00595309726131459,-5.12384364674267
"42",42,540,"AGO","Angola",1992,-6.9000001,0.39939999,16.23176,0,0,1,0,0,0,NA,NA,NA,NA,128,10609,NA,7,0,0,0,NA,NA
"43",43,540,"AGO","Angola",1993,-24.700001,0.41360001,16.264139,-1,0,1,0,0,0,2,0,4,108.556202506661,128,10133,6,NA,0,0,0,0.0107131355478793,-4.53628466912804
"44",44,540,"AGO","Angola",1994,3.5,0.42779999,16.29509,-1,0,1,0,0,0,2,0,1,50.0668832409708,120,10466,6,6,0,0,0,0.00478376488065839,-5.34252741056113
"45",45,540,"AGO","Angola",1995,10.4,0.44200001,16.32346,-2,0,1,0,0,0,1,0,0,36.9822485207101,100,10816,7,6,0,0,0,0.0034192167641189,-5.67834377047537
"46",46,540,"AGO","Angola",1996,11.2,0.45360001,16.349001,-2,0,1,0,0,0,0,0,1,41.1265087170317,95,11185,8,7,0,0,0,0.00367693417228715,-5.60567597938318
"47",47,540,"AGO","Angola",1997,7.9000001,0.4652,16.372471,-3,0,1,0,0,0,0,0,1,66.0385513008903,95,11569,8,8,0,0,0,0.00570823332188524,-5.16584570390912
"48",48,540,"AGO","Angola",1998,6.8047619,0.4768,16.395041,-3,0,1,0,0,0,1,0,1,80.5491233873636,100,12092,7,8,0,0,0,0.00666135654873996,-5.01143212917403
"49",49,540,"AGO","Angola",1999,3.2398,0.4884,16.418261,-3,0,1,0,0,0,2,0,0,80.5352993028287,100,12479,6,7,0,0,0,0.00645366610327981,-5.0431069215404
"50",50,540,"AGO","Angola",2000,3.0120759,0.5,16.443119,-3,0,1,0,0,0,1,0,2,155.303618574313,108,12878,7,6,0,0,0,0.0120596069711378,-4.41789367767204
"51",51,540,"AGO","Angola",2001,3.1419661,0.5066,16.469801,-3,0,1,0,0,0,1,0,0,114.103857797097,130,12883,7,7,0,0,0,0.0088569322205307,-4.72655482482813
"52",52,540,"AGO","Angola",2002,14.49055,0.5132,16.49782,-2,0,1,0,0,0,2,0,1,67.1727010143078,100,14887,6,7,0,0,0,0.00451217176155759,-5.40097669778984
"53",53,540,"AGO","Angola",2003,3.3082781,0.5198,16.52668,-2,0,1,0,0,0,3,1,2,48.6349782763764,120,15421,5,6,0,0,0,0.0031538148159248,-5.75914250620282
"54",54,540,"AGO","Angola",2004,11.18281,0.52639999,16.55571,-2,0,1,0,0,0,3,1,2,46.9424798147337,114,15977,5,5,0,0,0,0.00293812854820891,-5.82998244854265
"55",55,540,"AGO","Angola",2005,20.613239,0.53299999,16.584431,NA,0,1,0,0,0,3,1,2,71.8689555125725,108,16544,5,5,0,0,0,0.00434410998020869,-5.43893437894339
"56",56,540,"AGO","Angola",2006,NA,NA,NA,NA,0,1,0,0,0,4,1,2,92.7461745123233,108,17122,4,5,0,0,0,0.00541678393367149,-5.21825300981564
"57",57,339,"ALB","Albania",1979,NA,0.335,14.77736,-9,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"58",58,339,"ALB","Albania",1980,NA,0.33700001,14.79808,-9,0,0,0,1,0,NA,NA,NA,64.214606741573,46,2670,NA,NA,0,0,NA,0.0240504145099524,-3.72760304723784
"59",59,339,"ALB","Albania",1981,5.745636,0.33939999,14.81798,-9,0,0,0,1,0,1,0,0,69.1262848751836,41,2724,7,NA,0,0,NA,0.0253767565621085,-3.67392161989356
"60",60,339,"ALB","Albania",1982,2.948597,0.3418,14.83707,-9,0,0,0,1,0,2,0,0,56.3895683453237,42,2780,6,7,0,0,NA,0.0202840173904042,-3.89792202370383
"61",61,339,"ALB","Albania",1983,1.104938,0.34419998,14.85634,-9,0,0,0,1,0,2,0,0,46.0042283298097,42,2838,6,6,0,0,NA,0.0162100875016948,-4.12212154524204
"62",62,339,"ALB","Albania",1984,-1.251597,0.3466,14.87708,-9,0,0,0,1,0,1,0,1,44.8740075940628,41,2897,7,6,0,0,NA,0.015489819673477,-4.16757226610098
"63",63,339,"ALB","Albania",1985,1.7806441,0.34900002,14.89982,-9,0,0,0,1,0,NA,NA,NA,63.8789313493405,40,2957,NA,7,0,0,NA,0.0216026145922694,-3.83494092567909
"64",64,339,"ALB","Albania",1986,5.6372428,0.35200001,14.92527,-9,0,0,0,1,0,NA,NA,NA,55.9681697612732,42,3016,NA,NA,0,0,NA,0.0185570854646131,-3.9869035971117
"65",65,339,"ALB","Albania",1987,-0.78784257,0.355,14.95223,-9,0,0,0,1,0,NA,NA,NA,63.8361508452536,42,3076,NA,NA,0,0,NA,0.0207529749171826,-3.87506567307908
"66",66,339,"ALB","Albania",1988,-1.42004,0.35799999,14.97729,-9,0,0,0,1,0,NA,NA,NA,50.031867431485,42,3138,NA,NA,0,0,NA,0.0159438710744057,-4.13868078225551
"67",67,339,"ALB","Albania",1989,9.8365488,0.36099998,14.99616,-9,0,0,0,1,0,NA,NA,NA,52.2975929978118,40,3199,NA,NA,0,0,0,0.0163481065951272,-4.11364319292412
"68",68,339,"ALB","Albania",1990,-9.5756397,0.36400002,15.00624,1,0,0,0,1,0,3,1,1,52.5798525798526,48,3256,5,NA,0,0,0,0.0161486033721906,-4.12592171155508
"69",69,339,"ALB","Albania",1991,-27.480841,0.36939999,15.00655,1,3,0,0,1,0,4,1,5,31.7019969278034,40,3255,4,5,1,0,1,0.00973947678273529,-4.63156788117558
"70",70,339,"ALB","Albania",1992,-7.1998019,0.3748,14.99849,5,0,0,0,1,0,6,1,5,10.3181683021112,65,3363,2,4,0,1,1,0.00306814400895368,-5.78668245754559
"71",71,339,"ALB","Albania",1993,9.5999985,0.3802,14.98491,5,0,0,0,1,0,6,1,4,30.12912482066,65,3485,2,2,0,0,1,0.00864537297579913,-4.75073101724959
"72",72,339,"ALB","Albania",1994,9.4000034,0.38560001,14.97013,5,0,0,0,1,0,7,2,6,27.488018043417,65,3547,1,2,0,0,1,0.00774965267646376,-4.86010725256131
"73",73,339,"ALB","Albania",1995,8.9000015,0.39099998,14.95752,5,0,0,0,1,0,4,2,6,24.6605707952341,52,3609,4,1,0,0,1,0.00683307586457028,-4.9859803605713
"74",74,339,"ALB","Albania",1996,9.1000023,0.39639999,14.94811,0,0,0,0,1,0,4,0,6,28.2191780821918,52,3650,4,4,0,0,1,0.00773128166635391,-4.8624806259413
"75",75,339,"ALB","Albania",1997,-10.2,0.4018,14.94131,5,0,0,0,1,0,4,1,6,25.1943178772447,52,3731,4,4,0,0,1,0.006752698439358,-4.99781308519017
"76",76,339,"ALB","Albania",1998,12.7,0.40720001,14.93709,5,0,0,0,1,0,5,2,6,32.7027893555627,20,3119,3,4,0,0,1,0.010485023839552,-4.5578073409492
"77",77,339,"ALB","Albania",1999,10.1,0.41259998,14.93497,5,0,0,0,1,0,5,2,6,44.9726951493736,18,3113,3,3,0,0,1,0.0144467379214178,-4.23728663929178
"78",78,339,"ALB","Albania",2000,7.2999921,0.41799999,14.93451,5,0,0,0,1,0,3,1,5,36.2993896562801,54,3113,5,3,0,0,1,0.0116605813222872,-4.45154124318874
"79",79,339,"ALB","Albania",2001,7.0000038,0.4252,14.936,5,0,0,0,1,0,6,2,6,34.4827586206897,27,3074,2,5,0,0,1,0.0112175532272901,-4.49027547510288
"80",80,339,"ALB","Albania",2002,2.9000001,0.43240002,14.93968,7,0,0,0,1,0,6,2,6,18.0759803921569,27,3264,2,2,0,0,0,0.00553798418877355,-5.19612470928014
"81",81,339,"ALB","Albania",2003,5.6999998,0.43959999,14.94488,7,0,0,0,1,0,5,2,5,23.4640321086755,22,3239,3,2,0,0,0,0.00724422108943363,-4.92755121907419
"82",82,339,"ALB","Albania",2004,5.9000001,0.4468,14.95069,7,0,0,0,1,0,6,2,5,32.6492537313433,22,3216,2,3,0,0,0,0.0101521311353679,-4.59007163145805
"83",83,339,"ALB","Albania",2005,5.5169001,0.45400002,14.95644,NA,0,0,0,1,0,7,1,6,36.2953692115144,22,3196,1,2,0,0,0,0.0113564985017254,-4.47796514368383
"84",84,339,"ALB","Albania",2006,NA,NA,NA,NA,0,0,0,1,0,6,1,6,44.3396226415094,22,3180,2,1,0,0,0,0.0139432775602231,-4.27275778218814
"85",85,696,"ARE","United Arab Emirates",1979,24.88781,0.81599998,13.75927,-8,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"86",86,696,"ARE","United Arab Emirates",1980,26.420561,0.81099998,13.85761,-8,0,0,1,0,0,NA,NA,NA,2062.84532019704,44,1015,NA,NA,0,0,NA,2.0323599213764,0.709197640692774
"87",87,696,"ARE","United Arab Emirates",1981,2.8418369,0.80839996,13.88504,-8,0,0,1,0,0,8,0,1,2012.36081560284,44,1128,0,NA,0,0,NA,1.78400781525074,0.578862414894154
"88",88,696,"ARE","United Arab Emirates",1982,-8.2505856,0.80580002,13.94126,-8,0,0,1,0,0,8,0,1,2351.08467741935,44,1240,0,0,0,0,NA,1.8960360301769,0.639765406910129
"89",89,696,"ARE","United Arab Emirates",1983,-5.3925328,0.8032,13.997,-8,0,0,1,0,0,8,0,1,2008.19071310116,44,1206,0,0,0,0,NA,1.66516642877377,0.509925075658498
"90",90,696,"ARE","United Arab Emirates",1984,4.611155,0.80059998,14.05295,-8,0,0,1,0,0,8,0,1,1610.6089347079,44,1455,0,0,0,0,NA,1.10694772144873,0.10160642718111
"91",91,696,"ARE","United Arab Emirates",1985,-6.5732522,0.79800003,14.13687,-8,0,0,1,0,0,8,0,1,1316.36597938144,44,1552,0,0,0,0,NA,0.848173955787012,-0.164669527686569
"92",92,696,"ARE","United Arab Emirates",1986,-18.78335,0.79660004,14.16476,-8,0,0,1,0,0,8,0,1,1147.0408785845,44,1639,0,0,0,0,NA,0.699841902736121,-0.356900822681527
"93",93,696,"ARE","United Arab Emirates",1987,6.2584748,0.79519997,14.22098,-8,0,0,1,0,0,5,0,1,919.674039580908,44,1718,3,0,0,0,NA,0.535316670303206,-0.624896800085252
"94",94,696,"ARE","United Arab Emirates",1988,-2.3982501,0.79379997,14.27673,-8,0,0,1,0,0,6,0,1,888.764673001677,43,1789,2,3,0,0,NA,0.496794115708036,-0.699579592821024
"95",95,696,"ARE","United Arab Emirates",1989,13.53784,0.79239998,14.33252,-8,0,0,1,0,0,7,0,0,792.564655172414,43,1856,1,2,0,0,0,0.427028370243757,-0.850904827108717
"96",96,696,"ARE","United Arab Emirates",1990,17.53001,0.79099998,14.38818,-8,0,0,1,0,0,6,0,1,1348.25611660593,66,1921,2,1,0,0,0,0.701851179909388,-0.354033891861393
"97",97,696,"ARE","United Arab Emirates",1991,0.2099667,0.78959999,14.44412,-8,0,0,1,0,0,6,0,1,2471.00353000504,66,1983,2,2,0,0,0,1.24609356026477,0.220013506041263
"98",98,696,"ARE","United Arab Emirates",1992,2.690083,0.7882,14.50012,-8,0,0,1,0,0,7,0,1,1027.39726027397,55,2044,1,2,0,0,0,0.502640538294507,-0.687879999953539
"99",99,696,"ARE","United Arab Emirates",1993,-0.90002048,0.7868,14.55602,-8,0,0,1,0,0,7,0,1,842.530922930542,55,2102,1,1,0,0,0,0.400823464762389,-0.914234186108822
"100",100,696,"ARE","United Arab Emirates",1994,7.335506,0.78540001,14.61167,-8,0,0,1,0,0,8,0,1,996.291145108948,60,2157,0,1,0,0,0,0.461887410806188,-0.772434117153665
"101",101,696,"ARE","United Arab Emirates",1995,7.9456229,0.78400002,14.69555,-8,0,0,1,0,0,7,0,0,842.696629213483,60,2314,1,0,0,0,0,0.364173132762957,-1.01012588496731
"102",102,696,"ARE","United Arab Emirates",1996,6.1682281,0.78199997,14.72779,-8,0,0,1,0,0,7,0,1,865.738845681539,60,2443,1,1,0,0,0,0.354375294998583,-1.03739877205297
"103",103,696,"ARE","United Arab Emirates",1997,6.6573958,0.78,14.79082,-8,0,0,1,0,0,4,0,0,939.53488372093,60,2580,4,1,0,0,0,0.364160807643771,-1.01015972965998
"104",104,696,"ARE","United Arab Emirates",1998,4.2687588,0.77800003,14.8572,-8,0,0,1,0,0,6,0,1,1298.76753081173,65,2353,2,4,0,0,0,0.551962401534947,-0.594275348186177
"105",105,696,"ARE","United Arab Emirates",1999,3.8805649,0.77599998,14.92506,-8,0,0,1,0,0,8,0,1,1329.02418682235,65,2398,0,2,0,0,0,0.554221929450522,-0.590190077775446
"106",106,696,"ARE","United Arab Emirates",2000,4.9839158,0.77400002,14.99324,-8,0,0,1,0,0,7,0,0,1227.77550184351,65,2441,1,0,0,0,0,0.502980541517209,-0.68720379448712
"107",107,696,"ARE","United Arab Emirates",2001,7.9682751,0.77260002,15.06484,-8,1,0,1,0,0,5,0,1,969.371645089991,65,3167,3,1,1,0,1,0.306085142118721,-1.1838919735139
"108",108,696,"ARE","United Arab Emirates",2002,2.5999999,0.77120003,15.13833,-8,0,0,1,0,0,6,0,1,772.332506203474,42,3224,2,3,0,1,1,0.239557228971301,-1.42896293881215
"109",109,696,"ARE","United Arab Emirates",2003,11.9,0.76980003,15.212,-8,0,0,1,0,0,8,0,0,747.105966162066,50,3369,0,2,0,0,1,0.221758968881587,-1.50616421269565
"110",110,696,"ARE","United Arab Emirates",2004,9.6999998,0.76839996,15.27877,-8,0,0,1,0,0,6,0,1,707.57037441924,50,3659,2,0,0,0,1,0.193378074451828,-1.64310807130474
"111",111,696,"ARE","United Arab Emirates",2005,8.5,0.76699997,15.32693,NA,1,0,1,0,0,6,0,1,2108.21884791516,51,4149,2,2,1,0,1,0.508126981902907,-0.677023898263744
"112",112,696,"ARE","United Arab Emirates",2006,NA,NA,NA,NA,0,0,1,0,0,7,0,1,1944.62674323216,51,4876,1,2,0,1,1,0.398815985076324,-0.919255158758124
"113",113,160,"ARG","Argentina",1979,10.22276,0.82519997,17.13608,-9,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"114",114,160,"ARG","Argentina",1980,4.151762,0.82900002,17.151051,-9,0,0,0,0,1,NA,NA,NA,108.942692389834,155,28094,NA,NA,0,0,NA,0.00387779214030875,-5.55248932331228
"115",115,160,"ARG","Argentina",1981,-5.689528,0.8332,17.166189,-8,1,0,0,0,1,1,0,5,125.262401402279,155,28525,7,NA,1,0,NA,0.00439131994398874,-5.42812542647494
"116",116,160,"ARG","Argentina",1982,-4.9571791,0.83739998,17.181419,-8,2,0,0,0,1,5,1,6,143.167851964372,175,28966,3,7,1,1,NA,0.00494261727419637,-5.30986027549308
"117",117,160,"ARG","Argentina",1983,3.875124,0.84160004,17.196659,8,1,0,0,0,1,6,2,7,79.4870121039032,175,29412,2,3,1,1,NA,0.00270253679123838,-5.91356439476434
"118",118,160,"ARG","Argentina",1984,2.2117729,0.84580002,17.21183,8,2,0,0,0,1,6,1,5,76.425968719649,174,29859,2,2,1,1,NA,0.00255956223315078,-5.96791903778877
"119",119,160,"ARG","Argentina",1985,-7.5866771,0.85,17.226839,8,2,0,0,0,1,7,2,7,62.3329483583567,129,30305,1,2,1,1,NA,0.00205685360034175,-6.18657784228712
"120",120,160,"ARG","Argentina",1986,7.8757801,0.85400002,17.241659,8,1,0,0,0,1,8,2,8,37.400806556524,104,30748,0,1,1,1,NA,0.00121636550528568,-6.71188796059861
"121",121,160,"ARG","Argentina",1987,2.9099929,0.85800003,17.256321,8,2,0,0,0,1,6,1,7,39.1125929725571,118,31192,2,0,1,1,NA,0.00125393026970239,-6.68147244461543
"122",122,160,"ARG","Argentina",1988,-2.556905,0.86199997,17.2708,8,0,0,0,0,1,6,2,8,39.1958528258945,95,31636,2,2,0,1,NA,0.0012389636118945,-6.6934800456974
"123",123,160,"ARG","Argentina",1989,-7.4961901,0.86599998,17.28511,7,0,0,0,0,1,7,2,8,24.6501044231788,95,32081,1,2,0,0,1,0.000768370824574634,-7.17123809685028
"124",124,160,"ARG","Argentina",1990,-2.3989589,0.87,17.29924,7,0,0,0,0,1,4,2,8,23.7027700064562,85,32527,4,1,0,0,1,0.000728710609845856,-7.22423387342991
"125",125,160,"ARG","Argentina",1991,12.66971,0.87239998,17.313181,7,0,0,0,0,1,6,2,7,82.4892339418936,70,32974,2,4,0,0,1,0.00250164474864723,-5.99080686397007
"126",126,160,"ARG","Argentina",1992,11.94077,0.87480003,17.3269,7,1,0,0,0,1,6,2,7,77.7953981029891,65,33421,2,2,1,0,1,0.00232773998692406,-6.06285744481629
"127",127,160,"ARG","Argentina",1993,5.906919,0.87720001,17.340349,7,0,0,0,0,1,5,2,7,79.7189170037497,65,33869,3,2,0,1,1,0.00235374286231509,-6.05174851047118
"128",128,160,"ARG","Argentina",1994,5.8362012,0.87959999,17.353439,7,0,0,0,0,1,5,2,5,108.92243137712,69,34318,3,3,0,0,1,0.00317391547809079,-5.75278928669349
"129",129,160,"ARG","Argentina",1995,-2.8452101,0.88199997,17.366131,7,1,0,0,0,1,7,2,7,111.568108605614,65,34768,1,3,1,0,1,0.00320893087337823,-5.74181745857032
"130",130,160,"ARG","Argentina",1996,5.52669,0.88400002,17.378429,7,2,0,0,0,1,5,2,7,131.856899488927,65,35220,3,1,1,1,1,0.00374380748123017,-5.58765214230047
"131",131,160,"ARG","Argentina",1997,8.1110468,0.88599998,17.390341,7,2,0,0,0,1,5,2,7,139.381027136129,65,35672,3,3,1,1,1,0.00390729499708817,-5.54490996100189
"132",132,160,"ARG","Argentina",1998,3.850179,0.88800003,17.401859,7,0,0,0,0,1,3,2,7,148.52033330565,73,36123,5,3,0,1,1,0.00411151713051657,-5.49396318707372
"133",133,160,"ARG","Argentina",1999,-3.385457,0.89,17.412939,8,2,0,0,0,1,4,2,6,148.125871449271,73,36577,4,5,1,0,1,0.00404969985097934,-5.50911251147933
"134",134,160,"ARG","Argentina",2000,-0.78899312,0.89199997,17.423599,8,1,0,0,0,1,3,2,7,128.969539857421,71,37032,5,4,1,1,1,0.00348265121671583,-5.65996143136764
"135",135,160,"ARG","Argentina",2001,-4.4088469,0.89379997,17.433821,8,4,0,0,0,1,3,2,6,118.634944558079,70,37156,5,5,1,1,1,0.00319288794698244,-5.74682945919994
"136",136,160,"ARG","Argentina",2002,-10.89449,0.89559998,17.44364,8,0,0,0,0,1,4,2,8,38.9603486765175,69,37628,4,5,0,1,1,0.00103540843724135,-6.87295930475495
"137",137,160,"ARG","Argentina",2003,8.8370438,0.89739998,17.45323,8,0,0,0,0,1,5,2,7,53.4632604687911,71,37970,3,4,0,0,1,0.00140803951721862,-6.56555695543373
"138",138,160,"ARG","Argentina",2004,9.0295715,0.89919998,17.46283,8,0,0,0,0,1,4,2,7,42.0527813307578,71,38309,4,3,0,0,1,0.00109772589550126,-6.81451460685849
"139",139,160,"ARG","Argentina",2005,9.1789541,0.90099998,17.47257,NA,1,0,0,0,1,6,2,7,46.0567170358104,71,38648,2,4,1,0,1,0.00119169729444759,-6.73237669020022
"140",140,160,"ARG","Argentina",2006,NA,NA,NA,NA,0,0,0,0,1,5,2,7,48.0391905409218,71,38989,3,2,0,1,1,0.00123212163792151,-6.69901768666535
"141",141,371,"ARM","Armenia",1979,NA,0.6568,14.92887,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"142",142,371,"ARM","Armenia",1980,NA,0.66199997,14.94572,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"143",143,371,"ARM","Armenia",1981,NA,0.66459999,14.96161,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"144",144,371,"ARM","Armenia",1982,NA,0.66720001,14.97644,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"145",145,371,"ARM","Armenia",1983,NA,0.66980003,14.99086,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"146",146,371,"ARM","Armenia",1984,NA,0.67239998,15.00568,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"147",147,371,"ARM","Armenia",1985,NA,0.675,15.02123,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"148",148,371,"ARM","Armenia",1986,NA,0.675,15.03823,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
