"","X","name","GEOID","year.x","parent.location","population","poverty.rate","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","renter.occupied.households","eviction.filings","evictions","eviction.rate","eviction.filing.rate","imputed","subbed","Composite.Bottom.Order","Composite.Index","Composite.Score","Composite.Top.Order","Civil.Legal.Aid","Disabilities","LEP","Limited.English","Median.Income.2012","Number.of.Attorneys.Per.10.000.People","Number.of.Civil.Legal.Aid.Attorneys.Per.10.000.People.In.Poverty","Number.of.Records","Percent.of.People.with.Disabilities","Population","Region","Self.Represented","State.Abb","Weight","year.y","median.household.income.1000s","LCivil.Legal.Aid","State","Year","State Spending","Local Spending","State and Local Spending","Gross State Product","Real State Growth %","Population (million)"
"67",14162,"Iowa",19,2016,"USA",3093526,8.06,28.52,697,53183,129200,27.5,87.4,3.09,5.44,0.27,2.02,0.06,1.65,0.08,365324,14520,7358,2.01,3.97,0,0,22,40.74205304,162.9682122,31,6.003637557,70.83333333,21.4,38.20224719,57810,24.22174061,0.600363756,1,11.5,3107126,"Midwest",47.92899408,"IA",1,2016,53.183,-0.510219547467341,"Iowa",2016,373.6,73.2,446.8,57097.9,0.9,3.1
"68",14400,"Kansas",20,2016,"USA",2892987,9.09,33.31,757,52205,132000,27.9,77.04,5.67,11.17,0.7,2.59,0.06,2.7,0.07,372342,12972,8559,2.3,3.48,0,0,41,30.90936847,123.6374739,12,3.505741343,56.94444444,21.7,13.48314607,53444,28.46398149,0.350574134,1,12.9,2904021,"Midwest",49.70414201,"KS",0,2016,52.205,-1.04818308559996,"Kansas",2016,376.4,81.5,457.9,52707.1,0.2,2.9
"69",14519,"Kentucky",21,2016,"USA",4397353,14.39,32.76,675,43740,123200,29.3,85.55,7.78,3.26,0.17,1.25,0.05,1.82,0.1,446135,21427,12980,2.91,4.8,0,0,24,39.21171833,156.8468733,29,4.323492761,70.83333333,20.7,43.82022472,42786,30.47044528,0.432349276,1,17.6,4413457,"South",37.86982249,"KY",1,2016,43.74,-0.838521508146315,"Kentucky",2016,430.6,49.1,479.6,44418,1.3,4.4
"70",14995,"Louisiana",22,2016,"USA",4625253,15.19,34.22,788,45047,144100,32,59.48,31.88,4.72,0.53,1.67,0.04,1.51,0.17,496037,29511,13095,2.64,5.95,0,0,42,30.01743069,120.0697227,11,4.406424646,58.33333333,16.4,12.35955056,42406,40.3791576,0.440642465,1,14.8,4649676,"South",44.9704142,"LA",1,2016,45.047,-0.819521469321692,"Louisiana",2016,246.8,134.1,381,50170.9,-0.6,4.7
"71",15471,"Maine",23,2016,"USA",1329100,9.34,28.79,777,49331,173800,30.9,93.88,1.09,1.46,0.57,1.08,0.01,1.85,0.05,181713,4381,4113,2.26,2.41,0,0,14,47.95399847,191.8159939,39,9.394797016,86.11111111,10.2,35.95505618,51710,29.6521511,0.939479702,1,16.1,1330089,"Northeast",60.35502959,"ME",1,2016,49.331,-0.0624290654711114,"Maine",2016,1019.9,125.5,1145.4,44560,1.4,1.3
"72",16066,"Maryland",24,2016,"USA",5930538,6.97,33.18,1230,74551,286900,30.8,53.02,29.06,9,0.2,5.99,0.04,2.45,0.25,131919,136740,4694,3.56,103.65,0,0,4,60.80852957,243.2341183,49,14.85853008,86.11111111,17.2,73.03370787,76165,39.99392946,1.485853008,1,10.6,5976407,"South",69.23076923,"MD",1,2016,74.551,0.395989023502466,"Maryland",2016,583.9,207.9,791.9,62787.7,1.3,6
"73",17613,"Massachusetts",25,2016,"USA",6705586,8.19,37.89,1102,68563,333100,30.3,74.3,6.48,10.56,0.12,5.95,0.02,1.95,0.63,1033212,37121,15708,1.52,3.59,0,0,3,61.96299585,247.8519834,50,8.848869695,79.16666667,20.1,76.40449438,63151,65.19101587,0.884886969,1,11.6,6745408,"Northeast",83.43195266,"MA",1,2016,68.563,-0.122295360774996,"Massachusetts",2016,851.2,229.4,1080.6,74433.4,2,6.8
"74",19160,"Michigan",26,2016,"USA",9900571,11.93,28.96,783,49576,122400,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1037704,138169,34016,3.28,13.31,0,0,17,44.29344833,177.1737933,36,3.987354772,86.11111111,16.1,42.69662921,52005,35.05492551,0.398735477,1,14.4,9909877,"Northeast",44.37869823,"MI",1,2016,49.576,-0.919457046862969,"Michigan",2016,463.4,131.2,594.6,49050.4,1.8,9.9
"75",20469,"Minnesota",27,2016,"USA",5419171,7.29,28.34,848,61492,186200,29.2,81.71,5.42,5,0.96,4.42,0.03,2.35,0.12,588037,13622,3480,0.59,2.32,0,0,7,55.1452099,220.5808396,46,7.61322883,79.16666667,19,76.40449438,67244,44.93535389,0.761322883,1,10.8,5457173,"Midwest",57.3964497,"MN",0,2016,61.492,-0.272697723325821,"Minnesota",2016,547.2,404.9,952.1,60659.5,1.3,5.5
"76",21778,"Mississippi",28,2016,"USA",2988081,17.56,31.61,717,39665,103100,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,315015,21324,12479,3.96,6.77,0,0,52,15.83625379,63.34501514,1,2.557464079,27.77777778,27.4,13.48314607,35521,23.57653222,0.255746408,1,16.5,2994079,"South",19.52662722,"MS",0,2016,39.665,-1.36356891921482,"Mississippi",2016,253.8,91.7,345.5,36068.6,0.8,3
